char,division,code,orig_simp,acewho_simp,pinyin
𩬓,,epmb,,,
𱆈,,epmb,,,
𫋫,,epmm,,,
𥃄,,epmy,,,
𨣎,,epmy,,,
䰖,髟⺧貝,epnb,,,cuán·zuǎn
𰷆,,epnb,,,
𨳄,,epnc,,,
䭽,馬牛,epnm,,,qún
𨤆,,epny,,,
䯻,髟⺧口,epob,,,
𮪗,,epom,,,
𤥢,,epov,,,
𫑻,,epoy,,,
𨣏,,epoy,,,
酷,酉⺧口,epoy,epo,epo,kù
𭹱,,epoz,,,
玫,王攵,epp,,,méi
𨱝,,eppc,,,
班,王丿丿王,eppe,ep,ep,bān
𢽊,,eppf,,,
攼,干攵,eppg,,,gān·hàn
駇,馬攵,eppm,,,wén
𨠓,,eppy,,,
𤪕,,epqf,,,
𩡹,,epqm,,,
𩯙,,eprb,,,
𭞑,,eprf,,,
䮉,馬𠂉𧘇,eprm,,,lú
𪼋,,eprm,,,
珄,王生,eps,,,shēng
𬎡,,epsl,,,
𤦏,,epsr,,,
𭹻,,epsw,,,
𧟶,,epsx,,,
𨢩,,epsy,,,
𨤄,,epsy,,,
𤐿,,epsy,,,
𨠠,,epsy,,,
駯,馬牛八,eptm,,,zhū
璳,王牛八貝,eptn,,,tián
珠,王牛八,eptu,ept,ept,zhū
䣷,酉牛八,epty,,,zhū
𬺱,,epu,,,
𰢔,,epuc,,,
𤨤,,epus,,,
珗,王⺧儿,epve,,,xiān
䮡,馬𠂉夂,epvm,,,bì·bó
瓒,王⺧儿贝,epvm,,,zàn
駪,馬⺧儿,epvm,,,shēn
瓚,王⺧儿貝,epvn,,,zàn
𤪱,,epvs,,,
𮠸,,epvy,,,
酰,酉⺧儿,epvy,epv,epv,xiān
𤨋,,epwb,,,
𩬭,,epwb,,,
镻,镸牛丶,epwc,epw,epw,dié
䭿,馬牛丶,epwm,,,yì
𤤥,,epwu,,,
𤫨,,epxk,,,
璠,王丿米田,epxk,,epx,fán
𭹏,,epxm,,,
𩥀,,epxm,,,
𮠼,,epxy,,,
𩬪,,epzb,,,
𨕞,,epzx,,,
覂,覀丿之,epzx,epz,epz,fěng
𮡀,,epzy,,,
㺬,王凡,eqa,,,gǒng
㺬,,eqa,,,
𩫼,,eqab,,,
𥿩,,eqae,,,
𣕿,,eqai,,,
𣀍,,eqal,,,
𤴡,,eqal,,,
𫦎,,eqal,,,
䭵,馬凡,eqam,,,fán
𱄖,,eqam,,,
𭮹,,eqaq,,,
𮭈,,eqau,,,
索,,eqav,,,
索,十冖糸,eqav,eq,eq,suǒ
𮠣,,eqay,,,
𨟱,,eqay,,,
琤,王⺈彐亅,eqbb,,,chēng
郣,十冖子阝,eqbb,,,bó
鬇,髟⺈亅,eqbb,,,zhēng
勃,十冖子力,eqbc,eqb,eqb,bó·bèi
𠃱,,eqbc,,,
𬻗,,eqbd,,,
𠃻,,eqbe,,,
𩓐,,eqbg,,,
疐,十冖乛龰,eqbl,,,zhì·dì
㪍,十冖子攵,eqbp,,,bó·bèi
𣭷,,eqbr,,,
𢚦,,eqbr,,,
𬹌,,eqbr,,,
鹁,十冖子鸟,eqbs,,,bó
鵓,十冖子鳥,eqbu,,,bó
𤥌,,eqbv,,,
𨠥,,eqby,,,
孛,十冖子,eqbz,,,bèi·bó
愂,十冖力心,eqcr,,,bèi
𭵉,,eqcs,,,
珎,王⺈小,eqcx,,,zhēn
𬻖,,eqdd,,,
𮪀,,eqdm,,,
𤣻,,eqdo,,,
𨠶,,eqdy,,,
𡜌,,eqec,,,
𪻭,,eqek,,,
𰢀,,eqev,,,
𨘞,,eqez,,,
𩖘,,eqf,,,
𤧑,,eqf,,,
珲,王冖车,eqfc,eqf,eqf,hún·huī
㻧,王夕㐄木,eqfi,,,duò·hé
颿,馬風,eqfm,,,fān·fán
𥈷,,eqfn,,,
𫧫,,eqfo,,,
𭑓,,eqfw,,,
𩗏,,eqfx,,,
𤥕,,eqgb,,,
𩮡,,eqgb,,,
珟,王几歹,eqgd,,,sù
𠒈,,eqgg,,,
𤧽,,eqgg,,,
𬃖,,eqgi,,,
𰢑,,eqgk,,,
𩥃,,eqgm,,,
珮,王几一巾,eqgm,,eqg,pèi
𭹣,,eqgs,,,
𤪧,,eqgu,,,
𨢊,,eqgy,,,
𩬻,,eqib,,,
𣓼,,eqii,,,
䮪,馬夕木,eqim,,,chéng
𩤞,,eqim,,,
𣣙,,eqiq,,,
𣐁,,eqiv,,,
𤤸,,eqiv,,,
𭅠,,eqj,,,
玑,王几,eqj,,,jī
𩮔,,eqjb,,,
髠,髟几,eqjb,,,kūn
𨱙,,eqjc,,,
𮣾,,eqjc,,,
琿,王冖車,eqjc,,,hún·huī
𣣀,,eqje,,,
𣕣,,eqji,,,
䮝,馬冖車,eqjm,,,huán·huǎn·hún
𤩆,,eqjp,,,
𭺅,,eqjx,,,
𨡫,,eqjy,,,
璭,王冖車辶,eqjz,,,guǎn·gùn
𤧓,,eqkc,,,
𤱿,,eqkh,,,
𢍚,,eqkh,,,
𣓑,,eqki,,,
𱄭,,eqkm,,,
𱄱,,eqkm,,,
𬹋,,eqkv,,,
𤤫,,eqlb,,,
𧊒,,eqle,,,
𠄨,,eqle,,,
𰸏,,eqle,,,
𦅕,,eqlk,,,
𩬒,,eqmb,,,
𤥺,,eqmf,,,
𤤚,,eqmj,,,
𬎘,,eqmn,,,
𥂘,,eqmy,,,
醓,酉冖皿,eqmy,eqm,eqm,tǎn
𱄶,,eqnm,,,
瓊,,eqnv,,,
瓊,王⺈目夂,eqnv,,eqn,qióng
𰿑,,eqoc,,,
𨂬,,eqol,,,
𤩪,,eqor,,,
㻊,王⺈口儿,eqov,,,máng·mén·mèng
𤥁,,eqov,,,
𬍹,,eqov,,,
𭹒,,eqov,,,
酩,酉夕口,eqoy,eqo,eqo,mǐng
骜,龶⺈攵马,eqpa,,,áo
嫯,龶⺈攵女,eqpc,,,ào
𠞪,,eqpd,,,
𦈱,,eqpe,,,
驁,龶⺈攵馬,eqpe,,,ào
𤘒,,eqpf,,,
䫨,龶⺈攵頁,eqpg,,,ào
𩕀,,eqpg,,,
聱,龶⺈攵耳,eqph,,,áo
獒,龶⺈攵犬,eqpj,,,áo
𪙠,,eqpl,,,
螯,龶⺈攵虫,eqpl,,,áo
嶅,龶⺈攵山,eqpm,,,áo·ào
𥂢,,eqpm,,,
𩧊,,eqpm,,,
赘,龶⺈攵贝,eqpm,,,zhuì
𩪋,,eqpn,,,
贅,龶⺈攵貝,eqpn,,,zhuì
嗸,龶⺈攵口,eqpo,,,áo
鼇,龶⺈攵黽,eqpo,,,áo
敖,龶⺈攵,eqpp,,,áo
敖,,eqpp,,,
鰲,龶⺈攵魚,eqpq,,,áo
鳌,龶⺈攵鱼,eqpq,,,áo
㥿,龶⺈攵心,eqpr,,,ào
摮,龶⺈攵手,eqpr,,,áo·qiáo
𦪈,,eqpr,,,
𢠜,,eqpr,,,
𮌳,,eqps,,,
𪉑,,eqps,,,
熬,龶⺈攵灬,eqps,eqp,eqp,āo·áo
鷔,龶⺈攵鳥,eqpu,,,áo
鏊,龶⺈攵金,eqpv,,,ào
𤨺,,eqpx,,,
謷,龶⺈攵言,eqpy,,,áo
遨,龶⺈攵辶,eqpz,,,áo
㺵,王欠,eqq,,,jiú
𫘻,,eqqb,,,
𨱤,,eqqc,,,
𨱟,,eqqc,,,
𦫛,,eqqd,,,
𠀲,,eqqd,,,
𣣰,,eqqe,,,
𬅤,,eqqf,,,
𤤌,,eqqj,,,
𪞱,,eqqj,,,
𠦐,,eqqj,,,
䮈,馬夕夕,eqqm,,,chí
𢄬,,eqqm,,,
𮩹,,eqqm,,,
𢟥,,eqqr,,,
𤥀,,eqqx,,,
𨠅,,eqqy,,,
𨠁,,eqqy,,,
𮠨,,eqqy,,,
𬴩,,eqrb,,,
𫔖,,eqrc,,,
𢫴,,eqre,,,
𠧋,,eqrm,,,
𭐓,,eqrw,,,
䙶,西冖𧘇,eqrx,,,
𨣺,,eqry,,,
𬪩,,eqry,,,
𤤄,,eqs,,,
䯴,髟殳,eqsb,,,cháng
𩭛,,eqsb,,,
𨱚,,eqsc,,,
𠄣,,eqse,,,
𫘈,,eqsm,,,
酘,酉殳,eqsy,eqs,eqs,dòu
𪗄,,eqte,,,
瑍,王⺈八大,eqtf,,,huàn
琛,王冖八木,eqti,eqt,eqt,chēn
𦤣,,eqtj,,,
䮤,馬冖隹,eqtm,,,dí·hè·hé
𧶌,,eqtn,,,
𤕐,,eqtt,,,
𪆉,,eqtu,,,
𬎂,,eqtw,,,
𨢜,,eqty,,,
𨣯,,eqty,,,
𨢎,,eqty,,,
𫠤,,equ,,,
𩭥,,equb,,,
𫘙,,equm,,,
𩤂,,equm,,,
𣫠,,equq,,,
䵅,龶⺈人夂,equv,,,áo
𩶓,,eqv,,,
𫙁,,eqvb,,,
𩯯,,eqvb,,,
髧,髟冖儿,eqvb,,,dàn
𤧔,,eqvc,,,
𪻔,,eqve,,,
𨦠,,eqve,,,
𩣦,,eqvm,,,
𩥭,,eqvm,,,
馾,馬冖儿,eqvm,,,dǎn·dàn
𦃆,,eqvo,,,
𤩞,,eqvv,,,
𪼤,,eqvy,,,
𨢭,,eqvy,,,
酖,酉冖儿,eqvy,eqv,eqv,dān·zhèn
𫘹,,eqwb,,,
𩰃,,eqwb,,,
𨳂,,eqwc,,,
镹,镸⺈丶,eqwc,,,jiǔ
𪟹,,eqwd,,,
𩣮,,eqwm,,,
𩷡,,eqwq,,,
𤥍,,eqws,,,
玖,王⺈丶,eqwu,eqw,eqw,jiǔ
𮗃,,eqwx,,,
𮠘,,eqwy,,,
𦆽,,eqxe,,,
𭹘,,eqxm,,,
𬹎,,eqxo,,,
𬢤,,eqye,,,
𡒙,,eqyj,,,
𨒮,,eqze,,,
𮫑,,erab,,,
𩧖,,eram,,,
𩤪,,eram,,,
𮪆,,eram,,,
𩧋,,eram,,,
琇,王禾乃,eran,,era,xiù
珽,王壬廴,erbd,,erb,tǐng
𬎀,,erbq,,,
𤦋,,erbu,,,
㻑,王禾子,erbz,,,jì
䰀,髟禾女,ercb,,,wǒ
𨲁,,ercc,,,
𭺇,,ercw,,,
𬎙,,ercw,,,
𬎁,,ercy,,,
𨡌,,ercy,,,
𩢚,,erdm,,,
𤤣,,erdo,,,
𫘐,,erem,,,
𬍸,,eren,,,
䆐,𡗗禾𡗗禾,erer,,,guó
𮠵,,erey,,,
酔,酉九十,erey,,ere,zuì
𩧞,,erfm,,,
𫀜,,erfs,,,
𩢍,,ergm,,,
㻈,王⺁一口,ergo,,,
𩓳,,ergy,,,
𨠋,,ergy,,,
𩭦,,erhb,,,
𨲉,,erhc,,,
䮔,馬壬龷,erhm,,,zuǐ·zuī
𱄥,,erhm,,,
㻔,王壬龷,erhu,,,duǒ·ruì
𤤵,,erif,,,
𩦅,,erim,,,
𩦀,,erim,,,
𤥾,,eriv,,,
𣕰,,eriv,,,
𰡭,,erj,,,
𩫴,,erjb,,,
馸,馬⺁丅,erjm,,,xìn·jìn
瓆,王⺁丅貝,erjn,,erj,zhì
𠦉,,erju,,,
𤤆,,erju,,,
𡏑,,erjv,,,
𤤐,,erjw,,,
𨠇,,erjy,,,
𰢈,,erke,,,
𩣙,,erkm,,,
𩤹,,erkm,,,
𤧘,,erkv,,,
𮠷,,erky,,,
鬁,髟禾刂,erlb,erl,,lì
琍,王禾刂,erld,,erl,lí
𭹳,,erli,,,
𬍿,,erlm,,,
𩣫,,erlm,,,
𭸶,,erm,,,
䰔,髟舟皿,ermb,,,pán
髦,髟毛,ermb,erm,erm,máo
𨱞,,ermc,,,
𤪠,,ermh,,,
𣍅,,ermh,,,
䭷,馬毛,ermm,,,liú·máo
𤩝,,ermo,,,
䤉,酉心皿,ermy,,,mì·míng·mò·rú
𬐶,,ermy,,,
酕,酉毛,ermy,,,máo
醺,酉千黑,ermy,,,xūn
𩧄,,ernm,,,
珘,王舟,ero,,,zhōu
𩯘,,erob,,,
髺,髟千口,erob,,,kuò·yuè·guà
𨲭,,eroc,,,
𤨖,,erod,,,
𤩏,,eroe,,,
𠄭,,eroe,,,
𭹩,,eroj,,,
𩢸,,erom,,,
驕,馬夭口,erom,ero,ero,jiāo
䣶,酉千口,eroy,,,huó·tián
𮠱,,eroy,,,
𰢎,,erpi,,,
𤨚,,erpl,,,
𩧠,,erpm,,,
𩦄,,erpm,,,
𩥴,,erpm,,,
駜,馬心丿,erpm,erp,erp,bì
珌,王心丿,erpu,,,bì
𨠔,,erpy,,,
𤣳,,erq,,,
䰉,髟舟殳,erqb,,,pán·pàn·bān
𪼪,,erqg,,,
𩡴,,erqm,,,
𱄬,,erqm,,,
𩮄,,errb,,,
𨲚,,errc,,,
𬍲,,errr,,,
𥠼,,errv,,,
𥢝,,errx,,,
𨲰,,ersc,,,
𱄒,,ersm,,,
𨱳,,ertc,,,
𬮄,,ertc,,,
𨱩,,ertc,,,
表,龶𧘇,eru,er,er,biǎo
𭺊,,erua,,,
瓈,王禾人氺,erua,,,lí·li
䮢,馬千臼,erum,,,dié·zhá
𩧒,,erum,,,
𱈭,,erun,,,
𱈵,,erux,,,
𤤤,,erv,,,
秦,𡗗禾,erv,,,qín
𨱷,,ervc,,,
𩤽,,ervm,,,
騬,馬禾匕,ervm,,,chéng
䅇,覀禾,ervx,,,sù
𫌚,,ervx,,,
酥,酉禾,ervy,,,sū
𮩳,,erwm,,,
𱄸,,erwm,,,
𫑳,,erwy,,,
𪻒,,erx,,,
𢗣,,erx,,,
𮪾,,erxb,,,
鬏,髟禾火,erxb,erx,erx,jiū
忈,二心,erxe,,,rén
𫹯,,erxg,,,
𢟀,,erxm,,,
𤧐,,erxv,,,
𢙣,,erxx,,,
𬪴,,erxy,,,
𨠉,,erxy,,,
𨡲,,erxy,,,
𭸺,,ery,,,
𮪽,,eryb,,,
镺,镸夭,eryc,,ery,ǎo
𩡻,,erym,,,
𮠝,,eryy,,,
𤣺,,erz,,,
𩬐,,erzb,,,
𮠜,,erzy,,,
𩇠,,esam,,,
𩤍,,esam,,,
騶,馬勹屮,esam,,,zōu
𩇚,,esao,,,
𨠮,,esay,,,
静,龶月彐亅,esbb,esb,esb,jìng
靜,龶月彐亅,esbb,,,jìng
郬,龶月阝,esbv,,,qīng
𤎓,,esbx,,,
𤥘,,escd,,,
𩢛,,escm,,,
𩇤,,escq,,,
𩇞,,escs,,,
𮠤,,escy,,,
髱,髟勹巳,esdb,esd,esd,bào
䮀,馬勹巳,esdm,,,bó
玸,王勹巳,esds,,,fú
𭺎,,esdw,,,
𧟵,,esdx,,,
𨠖,,esdy,,,
𪻎,,esee,,,
𭺉,,esep,,,
𫕻,,eses,,,
𨟴,,esey,,,
𩮊,,esfc,,,
𩥷,,esfm,,,
㻮,王{祭上}示,esfs,,,càn
𩇗,,esfv,,,
𨢵,,esfy,,,
𩬥,,esgb,,,
鬚,髟彡頁,esgb,,,xū
𩇙,,esgd,,,
靛,龶月一龰,esgl,esg,esg,diàn
𩓨,,esgy,,,
𤌩,,eshb,,,
𭴀,,eshd,,,
𩇡,,eshy,,,
𬰗,,esij,,,
𤦳,,esjc,,,
𫹦,,esji,,,
琱,王⺆土口,esjo,,esj,diāo
𪼊,,esjz,,,
駨,馬勹日,eskm,esk,esk,xún·xuān·xuàn·xūn
𫕼,,eskv,,,
珣,王勹日,eskv,,,xún
䰌,髟彳龰,eslb,,,zǒng·cōng
𩬂,,eslc,,,
𨲧,,eslc,,,
𠝜,,esld,,,
𱄣,,eslm,,,
𨡒,,esly,,,
靓,龶月冂儿,esmv,esm,esm,jìng·liàng
𱉍,,esn,,,
𩯫,,esnc,,,
𮫆,,esnc,,,
𬷕,,esnf,,,
𱉊,,esng,,,
靗,龶月⺌兀,esng,,,chēng
靚,龶月見,esnj,,esn,jìng·liàng
䯾,髟⺆口,esob,,,tiáo·diāo
𮧃,,esoj,,,
駒,馬勹口,esom,,,jū
騆,馬⺆口,esom,eso,eso,zhōu
𩇢,,esor,,,
玽,王勹口,esov,,,gǒu
䣱,酉勹口,esoy,,,xù·yì
𨡑,,esoy,,,
𬪳,,esoy,,,
𠄹,,espe,,,
𭹟,,espf,,,
瑤,王{炙上}缶,espf,,,yáo
騊,馬勹缶,espm,esp,esp,táo
靔,龶月气,espq,,,tiān
𫕹,,esps,,,
𩇜,,espv,,,
𮗊,,espx,,,
靝,龶月气米,espx,,,tiān
𨣟,,espy,,,
醄,酉勹缶,espy,,,táo
靘,龶月⺈巴,esqd,esq,esq,qìng·jìng·qīng
𫕸,,esqk,,,
𩣤,,esqm,,,
𤥞,,esqs,,,
𤫄,,esqu,,,
𩮀,,esrb,,,
𩭳,,esrb,,,
𱄰,,esrm,,,
騘,馬勹心,esrm,esr,esr,cōng
𩇣,,esrp,,,
𨡮,,esry,,,
鬅,髟月月,essb,,,péng
珊,王⺆⺆一,essg,ess,ess,shān
䴖,龶月鸟,essn,,,jīng
𢜍,,essr,,,
𩇕,,esss,,,
𦝸,,esss,,,
𤤅,,essu,,,
㻚,王月月,essv,,,
𨟸,,essy,,,
𫹉,,essy,,,
𩭬,,estb,,,
𩯢,,estc,,,
𩠷,,estc,,,
䨼,龶月隹又,estd,,,hù
𩇥,,estd,,,
𬼿,,este,,,
𬰘,,esti,,,
駲,馬{三点}川,estm,,,zhōu
𨿬,,estw,,,
𨠩,,esty,,,
酬,酉{三点}川,esty,est,est,chóu
亙,二{炙上},esue,,,gèn·gèng
瑽,王彳人龰,esul,,,cōng
鶄,龶月鳥,esun,esu,esu,jīng·qīng
玥,,esv,,,
⻘,,esv,,,
玥,王月,esv,,,yuè
青,龶月,esv,es,es,qīng
𩬏,,esvb,,,
𨱠,,esvc,,,
𩢋,,esvm,,,
覆,覀彳夂,esvx,esv,esv,fù
𨱪,,eswc,,,
馰,馬勹丶,eswm,,,dí
𤧚,,eswr,,,
玓,王勹丶,eswu,,,dì
𨠞,,eswy,,,
酌,酉勹丶,eswy,esw,esw,zhuó
珩,王行,esx,,,héng
𫕺,,esxf,,,
𩣽,,esxm,,,
𮠧,,esxy,,,
𤤪,,esy,,,
𩭔,,esyb,,,
𩬅,,esyb,,,
𩬮,,esyb,,,
𤪅,,esyn,,,
玬,王⺆亠,esyu,,,dǎn
𨓽,,eszd,,,
𤦷,,eszv,,,
䯳,髟八厶,etab,,,sōng
𨱛,,etac,,,
玜,王八厶,etai,,,hóng·gōng
𩣍,,etam,,,
㻪,王隹乃,etan,,,suì
𤥼,,etar,,,
酗,酉乂凵,etay,eta,eta,xù
𰌞,,etbe,,,
𱄕,,etbm,,,
𭹲,,etbx,,,
𨡆,,etby,,,
𨢀,,etby,,,
玔,王川,etc,,,chuàn
𩮬,,etcb,,,
䦇,镸八乚,etcc,,,jì
𩥛,,etcm,,,
馴,馬川,etcm,etc,etc,xùn
𩮕,,etdb,,,
𩬉,,etdb,,,
𨱹,,etdc,,,
𰿌,,etdc,,,
玢,王八刀,etdd,,,bīn·fēn
𤦦,,etde,,,
䭻,馬八刀,etdm,,,fù
𤧒,,etdm,,,
𩤨,,etdm,,,
𩢇,,etdm,,,
𱄦,,etdm,,,
𪼌,,etdo,,,
𤧝,,etdp,,,
𬎉,,etdw,,,
𠭱,,etdx,,,
酚,酉八刀,etdy,etd,etd,fēn
𭸹,,etee,,,
𭹼,,etei,,,
𩥧,,etem,,,
𣏟,,etev,,,
玳,王亻弋,etfi,etf,etf,dài
䣹,酉亻戈,etfy,,,fá
𨠍,,etfy,,,
𬍦,,etgd,,,
𤪩,,etgi,,,
𤦍,,etgm,,,
𮪑,,etgm,,,
𩦁,,etgm,,,
𩒤,,etgy,,,
琋,王乂𠂇巾,ethm,,eth,xī
𭹐,,etho,,,
𩯸,,etib,,,
𩭼,,etib,,,
𩬙,,etib,,,
𩬡,,etib,,,
髹,髟亻木,etib,eti,eti,xiū
𤤕,,etic,,,
𨲻,,etic,,,
𠄡,,etie,,,
䮌,馬亻木,etim,,,
䮶,馬隹木,etim,,,
𪻬,,etim,,,
𱄡,,etim,,,
駈,馬亻工,etim,,,qū
駙,馬亻寸,etim,,,fù
瑖,王亻三殳,etiq,,,duàn
𪻤,,etit,,,
𪼛,,etiv,,,
𪻜,,etiv,,,
𧟬,,etix,,,
𫑼,,etiy,,,
𩦰,,etjm,,,
𩢰,,etjm,,,
覄,覀亻犬,etjx,etj,etj,fù
𰁖,,etke,,,
𧟸,,etkx,,,
𫥶,,etlg,,,
𫘔,,etlm,,,
𩭉,,etmb,,,
䮎,馬乂巾,etmm,,,xì
𩦩,,etmm,,,
㻽,王隹{雋下},etmu,,,suì·xuán
䤈,酉八皿,etmy,,,
𨡂,,etmy,,,
𮞙,,etmz,,,
𤦸,,etoi,,,
𩣥,,etom,,,
𨲥,,etpc,,,
𰏨,,etpg,,,
𩢝,,etpm,,,
𩮫,,etqb,,,
𩤣,,etqm,,,
𩭤,,etrb,,,
𩣭,,etrm,,,
𭹆,,etrr,,,
𨠲,,etry,,,
𨡜,,etsy,,,
𬋕,,etsy,,,
醮,酉隹灬,etsy,et,et,jiào
𩭁,,ettb,,,
𩬃,,ettb,,,
鬂,髟亻八,ettb,ett,ett,bìn
𧹘,,ette,,,
𡖘,,ettg,,,
𰏦,,ettg,,,
䭸,馬八乂,ettm,,,fù·bǎo
𩦸,,ettm,,,
駁,馬乂乂,ettm,,,bó
𨟿,,etty,,,
兲,王八,etu,,,tiān
玐,王八,etu,,,bā
𩫵,,etub,,,
𫡹,,etue,,,
𩥗,,etum,,,
𩡩,,etum,,,
𩡬,,etum,,,
𱄻,,etum,,,
𤥫,,etuo,,,
𪄏,,etux,,,
𬡹,,etux,,,
𩯣,,etvb,,,
鬉,髟乂夂,etvb,,,zōng
𨲔,,etvc,,,
𮣽,,etvc,,,
𮤆,,etvc,,,
𬍕,,etvi,,,
㪔,十{介下}儿攴,etvl,,,sàn·tán
𩦲,,etvm,,,
騣,馬乂夂,etvm,etv,etv,zōng
𢽳,,etvp,,,
𤪀,,etvv,,,
䣴,酉乂儿,etvy,,,xù
琟,王隹,etw,,,wéi·yù
𨲈,,etwc,,,
𨿌,,etwf,,,
䧲,干隹,etwg,,,hàn
騅,馬隹,etwm,etw,etw,zhuī
醀,酉隹,etwy,,,wéi·zhuì
𤩢,,etxe,,,
𤪟,,etxx,,,
䰓,髟自方,etyb,,,mián
𨲾,,etyc,,,
𧥽,,etye,,,
璡,王隹辶,etzd,,,jīn·jìn
㈩,,eu,,,
㊉,,eu,,,
十,十,eu,,eu,shí
𬂛,,eu,,,
龶,,eu,,,
𡗗,,eu,,,
⼗,,eu,,,
𨞢,,euab,,,
𫘽,,euab,,,
𪵿,,euad,,,
瓅,王白幺木,euai,,,lì
𠟴,,eual,,,
騡,馬白水,euam,,,quán
𪍖,,euap,,,
𢦋,,euar,,,
瑔,王白水,euas,,eua,quán
𨡹,,euay,,,
珀,王白,eub,,,pò
琀,王人乛口,eubo,,,hán
𤦬,,eubr,,,
玱,王人㔾,eubu,,,qiāng·cāng
𨟹,,euby,,,
𮠞,,euby,,,
𨠘,,euby,,,
𩬯,,eucb,,,
𨱯,,eucc,,,
𦑪,,eucg,,,
𥪵,,eucg,,,
𩢜,,eucm,,,
𤦥,,eucp,,,
𭝠,,eucw,,,
𤤽,,eucw,,,
𭹀,,eucx,,,
𤤷,,eud,,,
𩬔,,eudb,,,
𥀈,,eudg,,,
𠭕,,eudg,,,
𢻗,,eudg,,,
駖,馬人龴,eudm,eud,eud,líng
騪,馬臼又,eudm,,,sōu
𤤱,,eudo,,,
𫺡,,eudr,,,
𤥊,,eudw,,,
𮖿,,eudx,,,
𨠎,,eudy,,,
醙,,eudy,,,
醙,酉臼又,eudy,,,sōu
㻅,王人二厶,euea,,,huì·kuài
𩭧,,eueb,,,
𨲋,,euec,,,
𠧃,,euef,,,
𩣸,,euem,,,
駩,馬人王,euem,eue,eue,quán·quān
騜,馬白王,euem,,,huáng
𤦜,,eueo,,,
𦦱,,eueu,,,
𤦞,,eueu,,,
㻇,王人王,euev,,,
瑝,王白王,euev,,,huáng
𤧥,,euew,,,
𩥡,,euex,,,
𮗆,,euex,,,
𨡕,,euey,,,
𨣫,,euey,,,
酫,酉人王,euey,,,chuò
𪌝,,eufc,,,
𰋨,,eufd,,,
㦼,𡗗臼戈,eufg,,,shuàng
瑰,王鬼,eug,,,guī
玲,,euga,,,
𩰁,,eugb,,,
𩔓,,eugg,,,
㻌,王人一朩,eugi,,,tú
𪻖,,eugj,,,
𧓮,,eugl,,,
𤦎,,eugm,,,
瑡,王𠂤一巾,eugm,,,shī
騩,馬鬼,eugm,,,guī·tuí
𤩣,,eugn,,,
𦦜,,eugo,,,
珨,王人一口,eugo,,,xiá
𪍢,,eugq,,,
𤫂,,eugt,,,
𤫌,,eugt,,,
𠦠,,eugu,,,
碧,王白石,eugv,,,bì
䤘,酉人一,eugy,,,chǎn·qiǎn
𨤉,,eugy,,,
醜,酉鬼,eugy,,,chǒu
𮪓,,euhm,,,
𩧂,,euim,,,
駼,馬人朩,euim,,,tú
𦦺,,euio,,,
𪻼,,euiv,,,
䤕,酉白木,euiy,,,xuè·hù
𨣣,,euiy,,,
酴,酉人朩,euiy,eui,eui,tú
𭹉,,euj,,,
舂,𡗗臼,euj,,,chōng
髽,髟人土,eujb,,,zhuā
𩢹,,eujm,,,
鬠,髟人日,eukb,euk,euk,kuò·kuài
𤦴,,eukc,,,
𫞄,,euke,,,
𩦱,,eukm,,,
𨣋,,euky,,,
𮧌,,eule,,,
𦦘,,eulg,,,
𧕸,,eulm,,,
騟,馬人刂,eulm,eul,eul,yú
𪍕,,euln,,,
𤪂,,eulr,,,
𢢭,,eulr,,,
䤅,酉人刂,euly,,,tú
𩮭,,eumb,,,
𤦝,,eumj,,,
𩤇,,eumm,,,
𩥐,,eumm,,,
𮪟,,eumm,,,
𫑺,,eumy,,,
𨢴,,eumy,,,
鳿,王鳥,eun,,,yù
𪄒,,eunb,,,
𩯿,,eunb,,,
𩾚,,eund,,,
鵏,甫鳥,eunf,,,bū·bǔ·pū·pú
鳱,干鳥,eung,,,gān·hàn·yàn
䚎,𡗗臼見,eunj,,,chuāng
𧢆,,eunj,,,
𪌦,,euno,,,
𪀹,,eunx,,,
𬷔,,eunz,,,
𬍱,,euoa,,,
𩭆,,euob,,,
𩮩,,euob,,,
𩯠,,euob,,,
𪼜,,euoc,,,
𦦾,,euoi,,,
𰢙,,euom,,,
騇,馬人口,euom,euo,euo,shè
𭺈,,euos,,,
璵,王𦥑丄八,euot,,,yú
珦,王{向框}口,euov,,,xiàng
䣻,酉人口,euoy,,,hān
䤌,酉人口,euoy,,,qiāng
𩯛,,eupb,,,
琕,王白丿十,eupe,,,pín·bǐng
瑲,王人丿口,eupo,,,qiāng·cāng
覈,覀白攵,eupx,eup,eup,hé
𭫢,,euqi,,,
𩥾,,euqm,,,
赍,十人冖贝,euqm,euq,euq,jī
驗,馬僉,euqm,,,yàn
賫,十人冖貝,euqn,,,jī
醶,酉僉,euqy,,,yàn·liǎn·xiān·jiǎn
𩯵,,eurb,,,
𩮰,,eurb,,,
𩭮,,eurb,,,
騐,馬人心,eurm,,,yàn
驄,馬{囟框}心,eurm,eur,eur,cōng
𬍾,,eurp,,,
憃,𡗗臼心,eurx,,,chōng
𫺠,,eurx,,,
𨢨,,eury,,,
𨡎,,eury,,,
𩯡,,eusb,,,
𩬖,,eusb,,,
瑜,,eusc,,,
𤇟,,euse,,,
瑜,王人月刂,eusl,,,yú
駗,馬人彡,eusm,,,zhěn·zhēn
𬸥,,eusn,,,
𪼔,,euss,,,
珍,王人彡,euss,eus,eus,zhēn
𮢝,,eusv,,,
𬹄,,eusx,,,
䯰,髟人{介下},eutb,,,jiè
𤨜,,eutc,,,
