char,division,code,orig_simp,acewho_simp,pinyin
𮈐,,aahd,,,
𤮎,,aahi,,,
𢌹,,aahi,,,
𦸶,,aahk,,,
𫥬,,aahk,,,
𣊨,,aahk,,,
𪞷,,aahv,,,
𦬧,,aahv,,,
𥿋,,aahv,,,
𤬼,,aahw,,,
𤬷,,aahw,,,
𢇅,,aahy,,,
𢇂,,aahy,,,
𦱧,,aaig,,,
𣞆,,aaii,,,
𠬄,,aaii,,,
𠫰,,aaii,,,
𠬅,,aaii,,,
㕕,厶厶,aaii,,,huàn
㕖,厶厶木,aaii,,,sù
厸,厶厶,aaii,,,lín·miǎo·miǎn
叄,厶厶三,aaii,,aai,cān·shēn·cēn·sān
𦯤,,aaik,,,
𣛁,,aais,,,
𣐯,,aaiv,,,
𥿰,,aaiv,,,
𠚐,,aaiv,,,
𨋡,,aajc,,,
𡉸,,aaji,,,
𠫫,,aaji,,,
𤢚,,aaji,,,
𠬁,,aaji,,,
𨋿,,aaji,,,
𰹞,,aaji,,,
垒,厶厶土,aaji,aa,aaj,lěi
𠺤,,aajo,,,
𦬦,,aajq,,,
𦀜,,aaju,,,
𠀴,,aajw,,,
𨍃,,aajy,,,
𣂾,,aajy,,,
𣃔,,aajy,,,
㫁,幺幺丅,aajy,,,duàn
斷,幺幺丅,aajy,,,duàn
𰄕,,aakb,,,
𤱸,,aaki,,,
𤲛,,aaki,,,
𤱊,,aaki,,,
𣋧,,aaki,,,
𦻇,,aakr,,,
𢠞,,aakr,,,
𣌳,,aaky,,,
畿,幺幺田,aaky,aak,aak,jī
𨙏,,aakz,,,
𮧋,,aale,,,
𧏝,,aali,,,
𠜸,,aali,,,
𠞿,,aali,,,
𢿈,,aali,,,
𮕑,,aali,,,
剼,厶厶刂,aali,,,shān
𩪨,,aaln,,,
𢼍,,aalp,,,
䖓,屮凵虍几,aalq,,,nà
𠝃,,aals,,,
𧑿,,aalv,,,
𩇿,,aaly,,,
𧖀,,aaly,,,
𢨂,,aaly,,,
𧎶,,aaly,,,
𠟣,,aaly,,,
蠿,幺幺虫,aaly,,aal,zhuó·zhuō
𫥧,,aamh,,,
𪐽,,aamh,,,
𦱶,,aamj,,,
𱄿,,aamm,,,
𧷓,,aamn,,,
𫥤,,aamu,,,
𧗇,,aamy,,,
𧗒,,aamy,,,
𧗓,,aamy,,,
𥾋,,aan,,,
𧵠,,aanb,,,
𩨳,,aang,,,
𧴵,,aani,,,
𧵱,,aani,,,
𬼅,,aann,,,
𭃁,,aanr,,,
𣻣,,aans,,,
𰥜,,aanv,,,
𦱡,,aaoa,,,
𦱢,,aaob,,,
𦂅,,aaoi,,,
𪛐,,aaom,,,
骀,马厶口,aaom,aao,aao,tái·dài
緿,糹厶口心,aaor,,,dài
𠱭,,aaov,,,
𠰕,,aaov,,,
紿,糹厶口,aaov,,,dài
𧛬,,aaow,,,
𰌚,,aapc,,,
𥿵,,aape,,,
𩕣,,aapg,,,
𦗷,,aaph,,,
𠬋,,aapi,,,
𤯢,,aapi,,,
𤢝,,aapj,,,
𧒥,,aapl,,,
𫘤,,aapm,,,
𧸟,,aapn,,,
𧸞,,aapn,,,
𪓶,,aapo,,,
𪓾,,aapo,,,
𦀏,,aapp,,,
𭣩,,aapp,,,
𩼡,,aapq,,,
𢶗,,aapr,,,
𢢡,,aapr,,,
𦪰,,aapr,,,
𤏺,,aaps,,,
𣷜,,aaps,,,
𧭁,,aapy,,,
𪪋,,aapy,,,
𫿙,,aapy,,,
㡮,幺幺气,aapy,,,jí
𨗯,,aapz,,,
𦯥,,aaqg,,,
𣪶,,aaqi,,,
𠫨,,aaqi,,,
𠙃,,aaqi,,,
𠫞,,aaqi,,,
𨌗,,aaqj,,,
𢽘,,aaqp,,,
欪,屮凵欠,aaqq,,aaq,chù·qù·xì
𣶙,,aaqs,,,
𢆻,,aaqy,,,
㡬,幺幺⺈,aaqy,,,
𣯺,,aari,,,
毿,厶厶毛,aari,,,sān
𣂚,,aarj,,,
㪿,屮屮⺁丅,aarj,,,zhé·shé
𢘿,,aarx,,,
𪵨,,aasi,,,
𠬐,,aasi,,,
參,,aasi,,,
參,厶厶彡,aasi,,aas,cān·shēn·cēn·sān
𮐓,,aasj,,,
𦹼,,aasj,,,
𬘆,,aask,,,
𢾈,,aasl,,,
骖,马厶彡,aasm,aas,,cān
𤕯,,aasp,,,
沝,水水,aass,,,zhuǐ·zǐ
𬁹,,aasv,,,
𣍧,,aasv,,,
𬂋,,aasy,,,
𢇁,,aasy,,,
𨖮,,aasz,,,
𡴚,,aatd,,,
𪗊,,aate,,,
𭂽,,aati,,,
𠔩,,aati,,,
𠔰,,aati,,,
𠬔,,aati,,,
𰰞,,aati,,,
𧷵,,aatn,,,
𥜱,,aatv,,,
𡰇,,aatv,,,
𩠹,,aaty,,,
⾋,,aau,,,
𫡅,,aau,,,
